word	freq	cap_ratio
test	4494	0.105
game	3276	0.162
rapid	3241	0.149
website	2476	0.092
link	2138	0.558
live	2103	0.524
band	1727	0.266
system	1656	0.338
smartphone	1582	0.131
streaming	1579	0.438
event	1554	0.162
service	1434	0.441
mobile	1431	0.488
update	1417	0.409
file	1346	0.090
share	1326	0.225
home	1320	0.558
social	1293	0.237
software	1246	0.222
mall	1205	0.508
server	1154	0.198
full	1135	0.272
iphone	1089	0.045
time	1060	0.417
dollar	1059	0.198
lockdown	1057	0.112
single	1053	0.198
power	1030	0.468
hand	1007	0.108
brand	1005	0.269
handphone	981	0.115
public	922	0.472
show	910	0.507
point	909	0.285
market	906	0.319
management	901	0.663
herbal	877	0.137
download	868	0.301
balita	865	0.143
workshop	863	0.355
jazz	857	0.648
business	855	0.680
channel	849	0.345
cluster	842	0.378
fashion	841	0.301
member	828	0.111
green	817	0.650
support	810	0.168
free	807	0.533
team	787	0.515
post	786	0.632
tour	765	0.661
food	752	0.463
travel	726	0.350
call	716	0.284
house	690	0.545
spot	684	0.171
training	683	0.359
line	677	0.363
tower	671	0.461
user	669	0.148
driver	658	0.210
staff	658	0.266
rate	655	0.348
customer	638	0.290
type	637	0.218
preview	634	0.454
office	630	0.548
road	630	0.568
design	622	0.428
best	620	0.690
more	610	0.602
physical	603	0.070
body	597	0.199
project	593	0.518
life	590	0.669
series	589	0.662
assist	588	0.039
smart	571	0.629
control	569	0.464
visa	567	0.198
presenter	545	0.255
network	535	0.693
conference	532	0.382
dealer	523	0.325
review	521	0.280
security	512	0.416
rock	508	0.396
standard	506	0.547
card	502	0.424
capital	501	0.595
estate	500	0.576
story	497	0.694
alaihi	493	0.101
stakeholder	493	0.030
check	490	0.206
seller	490	0.024
from	489	0.382
meeting	489	0.348
rider	489	0.211
silver	486	0.278
sampling	478	0.128
music	474	0.662
second	473	0.104
cash	459	0.198
high	457	0.416
jersey	457	0.330
trend	457	0.236
work	454	0.379
drive	453	0.333
password	450	0.147
year	447	0.414
good	442	0.466
login	437	0.233
rating	431	0.125
baby	424	0.585
fair	423	0.551
input	423	0.076
output	422	0.128
water	407	0.369
safety	397	0.421
asset	395	0.438
winger	393	0.188
happy	391	0.657
chat	390	0.226
view	389	0.396
back	386	0.246
disease	385	0.681
trading	385	0.226
mangrove	384	0.151
action	383	0.326
core	381	0.567
loading	379	0.018
stand	377	0.204
yuan	375	0.443
outlet	374	0.120
financial	372	0.583
care	370	0.608
chain	369	0.352
form	368	0.188
special	366	0.549
gold	363	0.675
press	362	0.583
professional	362	0.182
race	362	0.423
this	360	0.450
computer	358	0.385
image	357	0.202
double	356	0.197
company	355	0.682
product	353	0.564
face	352	0.261
down	350	0.226
room	350	0.474
search	347	0.501
account	344	0.192
keyboard	342	0.132
flash	341	0.472
