model,rumusan,benar,dinilai,skor,a_kena,a_total,a_rasio,b_kena,b_total,b_rasio,biaya_usd_total,latensi_median_ms,waktu_amat_awal,waktu_amat_akhir,cap_token_maks,dijalankan_pada
deepseek-v4-flash-0731,open-py1,35,69,0.5072,35,40,0.875,101,126,0.8016,0.0040482329,3644,2026-08-14T07:20:05,2026-08-14T08:12:19,2400,2026-08-14T23:45:38+0700
deepseek-v4-flash-0731,open-py2,50,69,0.7246,29,40,0.725,120,126,0.9524,0.0047494917,4526,2026-08-14T07:03:46,2026-08-14T08:16:20,2400,2026-08-14T23:45:38+0700
deepseek-v4-flash-0731,open-py3,51,69,0.7391,37,40,0.925,113,126,0.8968,0.0048981046,4094,2026-08-14T08:02:10,2026-08-14T08:17:17,2400,2026-08-14T23:45:38+0700
gemma-4-31b,open-py1,32,69,0.4638,35,40,0.875,97,126,0.7698,0.0016275600,1330,2026-08-13T15:02:42,2026-08-13T15:06:42,600,2026-08-14T23:45:38+0700
gemma-4-31b,open-py2,59,69,0.8551,31,40,0.775,125,126,0.9921,0.0015551160,1373,2026-08-13T15:58:37,2026-08-13T16:01:59,600,2026-08-14T23:45:38+0700
gemma-4-31b,open-py3,60,69,0.8696,35,40,0.875,123,126,0.9762,0.0016240100,952,2026-08-13T18:04:56,2026-08-13T18:08:11,600,2026-08-14T23:45:38+0700
gpt-5.6-luna,open-py1,31,69,0.4493,36,40,0.9,98,126,0.7778,0.0021420000,1034,2026-08-14T07:14:02,2026-08-14T07:16:53,600,2026-08-14T23:45:38+0700
gpt-5.6-luna,open-py2,52,69,0.7536,25,40,0.625,119,126,0.9444,0.0042225000,2199,2026-08-14T06:56:41,2026-08-14T07:00:31,600,2026-08-14T23:45:38+0700
gpt-5.6-luna,open-py3,55,69,0.7971,34,40,0.85,96,126,0.7619,0.0040731000,2020,2026-08-14T07:43:27,2026-08-14T07:47:08,600,2026-08-14T23:45:38+0700
hunyuan-a13b,open-py1,17,69,0.2464,29,40,0.725,87,126,0.6905,0.0019430700,1485,2026-08-14T07:16:56,2026-08-14T07:20:00,600,2026-08-14T23:45:38+0700
hunyuan-a13b,open-py2,29,69,0.4203,26,40,0.65,111,126,0.881,0.0022726500,1493,2026-08-14T07:00:35,2026-08-14T07:03:43,600,2026-08-14T23:45:38+0700
hunyuan-a13b,open-py3,22,69,0.3188,29,40,0.725,101,126,0.8016,0.0021857100,1497,2026-08-14T07:47:10,2026-08-14T07:50:16,600,2026-08-14T23:45:38+0700
ling-3.0-flash,open-py1,39,69,0.5652,32,40,0.8,98,126,0.7778,0.0019648524,1766,2026-08-13T15:23:55,2026-08-13T15:34:40,4000,2026-08-14T23:45:38+0700
ling-3.0-flash,open-py2,43,67,0.6418,22,39,0.5641,118,126,0.9365,0.0016091526,1744,2026-08-13T16:02:01,2026-08-13T16:11:11,2400,2026-08-14T23:45:38+0700
ling-3.0-flash,open-py3,41,69,0.5942,33,40,0.825,108,126,0.8571,0.0034141872,1936,2026-08-13T18:08:21,2026-08-13T18:28:56,24000,2026-08-14T23:45:38+0700
mistral-small-3-2501,open-py1,39,69,0.5652,29,40,0.725,114,126,0.9048,0.0005372400,962,2026-08-13T15:00:13,2026-08-13T15:02:38,600,2026-08-14T23:45:38+0700
mistral-small-3-2501,open-py2,38,69,0.5507,24,40,0.6,122,126,0.9683,0.0006374500,650,2026-08-13T15:56:29,2026-08-13T15:58:28,600,2026-08-14T23:45:38+0700
mistral-small-3-2501,open-py3,38,69,0.5507,29,40,0.725,115,126,0.9127,0.0005963700,671,2026-08-13T18:02:47,2026-08-13T18:04:54,600,2026-08-14T23:45:38+0700
qwen3-30b-a3b-2507,open-py1,40,69,0.5797,31,40,0.775,114,126,0.9048,0.0009517622,2043,2026-08-13T15:28:16,2026-08-13T15:31:49,600,2026-08-14T23:45:38+0700
qwen3-30b-a3b-2507,open-py2,43,69,0.6232,23,40,0.575,119,126,0.9444,0.0011570861,1656,2026-08-13T16:06:05,2026-08-13T16:09:12,600,2026-08-14T23:45:38+0700
qwen3-30b-a3b-2507,open-py3,46,69,0.6667,32,40,0.8,116,126,0.9206,0.0012745558,1636,2026-08-13T18:11:48,2026-08-13T18:15:21,600,2026-08-14T23:45:38+0700
sahabatai-1-llama3-q4km,open-py1,22,69,0.3188,32,40,0.8,74,126,0.5873,0.0000000000,390,2026-08-14T23:20:58,2026-08-14T23:22:46,600,2026-08-14T23:45:38+0700
sahabatai-1-llama3-q4km,open-py2,40,69,0.5797,34,40,0.85,105,126,0.8333,0.0000000000,415,2026-08-14T23:22:48,2026-08-14T23:24:38,600,2026-08-14T23:45:38+0700
sahabatai-1-llama3-q4km,open-py3,29,69,0.4203,35,40,0.875,90,126,0.7143,0.0000000000,418,2026-08-14T23:24:40,2026-08-14T23:26:29,600,2026-08-14T23:45:38+0700
solar-pro4,open-py1,28,69,0.4058,33,40,0.825,103,126,0.8175,0.0004773900,2684,2026-08-14T09:39:38,2026-08-14T09:59:08,600,2026-08-14T23:45:38+0700
solar-pro4,open-py2,41,69,0.5942,24,40,0.6,124,126,0.9841,0.0005369400,5339,2026-08-14T09:59:49,2026-08-14T10:20:51,600,2026-08-14T23:45:38+0700
solar-pro4,open-py3,43,69,0.6232,26,40,0.65,122,126,0.9683,0.0005175600,2275,2026-08-14T10:21:09,2026-08-14T10:38:05,600,2026-08-14T23:45:38+0700
