model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
claude-haiku-4.5,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,37,,38,38,0.9737,0.0104050000,9645,152,1405,0,0,0,0,600,2026-08-14T06:37:41+0700,1
deepseek-v4-flash-0731,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,35,,38,38,0.9211,0.0017605604,7374,3835,3097,0,0,0,0,600,2026-08-14T03:08:08+0700,1
gemma-4-31b,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,37,,38,38,0.9737,0.0008532700,7011,76,936,0,0,0,0,600,2026-08-13T14:51:16+0700,1
gpt-5.6-luna,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,38,,38,38,1.0,0.0011014000,6994,670,1021,0,0,0,0,600,2026-08-14T06:54:53+0700,1
hunyuan-a13b,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,28,,38,38,0.7368,0.0012376600,8531,76,1483,0,0,0,0,600,2026-08-14T06:56:38+0700,1
ling-3.0-flash,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,35,,38,38,0.9211,0.0007948020,9074,8621,1419,0,0,0,0,600,2026-08-14T06:46:41+0700,1
llama-3-1-8b-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,30,,38,38,0.7895,,8726,76,460,0,0,0,0,600,2026-08-15T16:26:12+0700,1
mistral-small-3-2501,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,32,,38,38,0.8421,0.0003830300,7539,76,486,0,0,0,0,600,2026-08-13T14:46:23+0700,1
qwen3-30b-a3b-2507,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,33,,38,38,0.8684,0.0007187751,8681,63,533,0,0,0,0,600,2026-08-14T03:02:53+0700,1
sahabatai-1-llama3-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,30,,38,38,0.7895,,8726,76,292,0,0,0,0,600,2026-08-14T23:06:00+0700,1
sea-lion-v4-5-e2b-q4km-local,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,27,,38,38,0.7105,,6709,76,834,0,0,0,0,600,2026-08-15T16:24:11+0700,1
solar-pro4,id-B,pilihan-ganda,mcq-py1,mcq-py1,1,3e5973f02ae8,b890194821ba,32,,38,38,0.8421,0.0002874900,9247,84,1411,0,0,0,0,600,2026-08-14T08:36:04+0700,1
