model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
claude-haiku-4.5,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,32,,54,54,0.5926,0.0162620000,14517,349,1266,0,0,0,0,600,2026-08-14T06:42:10+0700,1
deepseek-v4-flash-0731,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,35,,54,54,0.6481,0.0039268338,11085,13176,5016,0,0,0,0,600,2026-08-14T03:09:51+0700,1
gemma-4-31b,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,42,,54,54,0.7778,0.0013040600,10323,190,1021,0,0,0,0,600,2026-08-13T14:58:19+0700,1
gpt-5.6-luna,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,37,,54,54,0.6852,0.0052193000,10655,6923,2701,0,0,0,0,600,2026-08-14T06:50:55+0700,1
hunyuan-a13b,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,28,,54,54,0.5185,0.0019074400,12566,260,1474,0,0,0,0,600,2026-08-14T06:53:22+0700,1
ling-3.0-flash,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,37,,54,54,0.6852,0.0015512184,13118,16337,1410,0,0,0,0,600,2026-08-14T06:47:15+0700,1
llama-3-1-8b-q4km-local,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,30,,54,54,0.5556,,12831,255,443,0,0,0,0,600,2026-08-15T16:27:43+0700,1
mistral-small-3-2501,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,31,,54,54,0.5741,0.0005949800,11546,221,556,0,0,0,0,600,2026-08-13T14:55:45+0700,1
qwen3-30b-a3b-2507,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,34,,54,54,0.6296,0.0010280435,12782,186,596,0,0,0,0,600,2026-08-14T02:56:45+0700,1
sahabatai-1-llama3-q4km-local,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,32,,54,54,0.5926,,12831,205,301,0,0,0,0,600,2026-08-14T23:20:48+0700,1
sea-lion-v4-5-e2b-q4km-local,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,36,,54,54,0.6667,,9909,184,836,0,0,0,0,600,2026-08-15T16:42:16+0700,1
solar-pro4,id-W,terbuka,open-py1,open-py1,1,27af2c184856,82bbf3cc2f8a,33,,54,54,0.6111,0.0004416900,13819,226,33811,0,0,0,0,600,2026-08-14T09:14:31+0700,1
