model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
deepseek-v4-flash-0731,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,22,,43,43,0.5116,0.0025023830,,,4670,0,0,0,0,,2026-08-14T18:27:26+07:00,0
gemini-3.5-flash,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,40,,43,43,0.9302,0.1270050000,,,3418,0,0,0,0,,2026-08-14T18:27:26+07:00,0
gemma-4-31b,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,26,,43,43,0.6047,0.0005048000,,,1913,0,0,0,0,,2026-08-12T20:46:56+0700,1
gpt-5.6-luna,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,35,,43,43,0.814,0.0039585000,,,3708,0,0,0,0,,2026-08-14T18:27:26+07:00,0
llama-3-1-8b-q4km-local,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,1,,43,43,0.0233,,1764,744,543,0,0,0,0,600,2026-08-15T16:36:04+0700,1
mistral-small-3-2501,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,1,,43,43,0.0233,0.0004749600,,,1403,0,0,0,0,,2026-08-14T18:27:26+07:00,0
nemotron-3.5-lightning,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,3,,43,43,0.0698,0.0110987000,,,3669,0,0,0,0,,2026-08-12T21:02:03+0700,1
sahabatai-1-llama3-q4km-local,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,4,,43,43,0.093,,1764,1060,567,0,0,0,0,600,2026-08-15T00:52:38+0700,1
sea-lion-v4-5-e2b-q4km-local,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,9,,43,43,0.2093,,1357,515,843,0,0,0,0,600,2026-08-15T16:52:19+0700,1
solar-pro4,jv-arti-kata,arti-kata,kunci-alias-v1,arti-kata-v1,1,6dfcc448bbd5,0a1bc07f67bc,4,,43,43,0.093,0.0002283600,3432,1045,6807,0,0,0,0,600,2026-08-14T09:39:27+0700,1
