model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
claude-haiku-4.5,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,28,,38,38,0.7368,0.0071560000,6396,152,2228,0,0,0,0,600,2026-08-14T03:59:59+0700,1
deepseek-v4-flash-0731,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,36,,38,38,0.9474,0.0019527984,4960,6495,4324,0,0,0,0,600,2026-08-14T06:46:23+0700,1
gemini-3.5-flash,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,37,,38,38,0.9737,0.0794610000,4122,8142,2217,0,0,0,0,600,2026-08-14T04:01:36+0700,1
gemini-3.5-flash,jv-A,terbuka,open-py1,open-py1,1,9f2d79048c32,4610a4b37355,8,,8,8,1.0,0.0261870000,802,2776,2753,0,0,0,0,600,2026-08-14T06:02:39+0700,1
gemma-4-31b,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,36,,38,38,0.9474,0.0005557820,4908,76,803,0,0,0,0,600,2026-08-13T22:43:12+0700,1
gemma-4-31b,jv-A,terbuka,open-py1,open-py1,1,9f2d79048c32,4610a4b37355,8,,8,8,1.0,0.0001498100,962,97,1318,0,0,0,0,600,2026-08-14T06:01:48+0700,1
gpt-5.6-luna,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,34,,38,38,0.8947,0.0007922000,4754,528,988,0,0,0,0,600,2026-08-14T06:34:19+0700,1
hunyuan-a13b,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,21,,38,38,0.5526,0.0008157000,5517,76,1396,0,0,0,0,600,2026-08-14T06:35:59+0700,1
ling-3.0-flash,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,25,,35,38,0.7143,0.0009196848,5681,10405,1507,1,0,0,0,600,2026-08-13T22:47:44+0700,1
llama-3-1-8b-q4km-local,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,15,,38,38,0.3947,,5740,77,432,0,0,0,0,600,2026-08-15T16:34:46+0700,1
llama-3-1-8b-q4km-local,jv-A,terbuka,open-py1,open-py1,1,9f2d79048c32,4610a4b37355,1,0.875,8,8,0.1094,,1231,103,571,0,0,0,0,600,2026-08-15T16:40:17+0700,1
mistral-small-3-2501,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,18,,38,38,0.4737,0.0002570400,5016,78,547,0,0,0,0,600,2026-08-13T22:41:42+0700,1
mistral-small-3-2501,jv-A,terbuka,open-py1,open-py1,1,9f2d79048c32,4610a4b37355,0,,8,8,0.0,0.0000601900,1031,108,1098,0,0,0,0,600,2026-08-14T06:03:43+0700,1
qwen3-30b-a3b-2507,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,19,,38,38,0.5,0.0004442333,5669,67,612,0,0,0,0,600,2026-08-13T22:44:17+0700,1
qwen3-30b-a3b-2507,jv-A,terbuka,open-py1,open-py1,1,9f2d79048c32,4610a4b37355,2,1.5,8,8,0.1875,0.0001006588,1219,122,477,0,0,0,0,600,2026-08-14T06:02:06+0700,1
sahabatai-1-llama3-q4km-local,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,18,,38,38,0.4737,,5740,76,311,0,0,0,0,600,2026-08-15T00:50:47+0700,1
sahabatai-1-llama3-q4km-local,jv-A,terbuka,open-py1,open-py1,1,9f2d79048c32,4610a4b37355,1,,8,8,0.125,,1231,132,426,0,0,0,0,600,2026-08-15T00:51:14+0700,1
sea-lion-v4-5-e2b-q4km-local,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,22,,38,38,0.5789,,4654,76,837,0,0,0,0,600,2026-08-15T16:50:50+0700,1
sea-lion-v4-5-e2b-q4km-local,jv-A,terbuka,open-py1,open-py1,1,9f2d79048c32,4610a4b37355,6,5.875,8,8,0.7344,,914,96,920,0,0,0,0,600,2026-08-15T16:57:23+0700,1
solar-pro4,jv-A,pilihan-ganda,mcq-py1,mcq-py1,1,c0c83850858e,18e8ec378904,22,,38,38,0.5789,0.0002127900,6781,78,6680,0,0,0,0,600,2026-08-14T09:26:03+0700,1
