no,lema,kalimat_jawa,opsi_a,opsi_b,asal_a,asal_b,pilihan,menang,catatan_pengadil
1,Mekaten,"Menawi kersa, aturipun kedah mekaten panjenenganipun.","Kalau mau, bicaranya harus begitu kepada beliau.","Jika berkenan, perkataan beliau harus demikian.",glos_kamus,jawaban_model,b,jawaban_model,
2,Biyuh,"Biyuh, larane awakku ki mbok yo dirasake!","Aduh, sakitnya badanku ini tolonglah dirasakan!","Aduh, sakitnya aku ini coba kamu rasakan!",jawaban_model,glos_kamus,sama,seri,secara makna mirip dan sama
3,Mrika,"Menawi kersa, Panjenengan saged tindak mrika nitih taksi.","Kalau mau, Anda bisa pergi ke sana naik taksi.","Jika berkenan, Anda bisa pergi ke sana naik taksi.",glos_kamus,jawaban_model,b,jawaban_model,
4,Amergi,Kulo boten saged sowan amergi nembe mriyang.,Saya tidak bisa berkunjung karena sedang sakit.,Saya tidak bisa datang karena sedang sakit demam.,jawaban_model,glos_kamus,b,glos_kamus,"meskipun sama baiknya, tapi mriyang untuk jawa memang identik dengan demam. saya lebih memilih B karna dia tahu mriyang itu demam bukan sekadar sakit."
5,Pinarak,"Monggo, Pak Lik, pinarak rumiyin.","Silakan, Paman, mampir dulu","Silakan, Paman, duduk dulu.",glos_kamus,jawaban_model,b,jawaban_model,
6,Bladak,"Tuku bladak loro wae, enak banget dipangan awan-awan ngene.","Beli bladak dua saja, enak sekali dimakan siang-siang begini.","Beli bakwan dua saja, enak sekali dimakan siang-siang begini.",jawaban_model,glos_kamus,b,glos_kamus,"bladak itu artinya bakwan kalau di jawa daerah semarangan dan sekitarnya. kosakata ini banyak luput di kamus-kamus jawa manapun. tapi ibahasa, hanya satu-satunya kamus yang ada bladak-nya hingga etomologi-nya. wkwk"
7,Tampah,Mbok Sarmi nggawa tampah isi tempe mendoan sing isih kemebul.,Ibu Sarmi membawa nampan bambu berisi tempe mendoan yang masih berasap panas,Mbok Sarmi membawa tampah berisi tempe mendoan yang masih mengepul.,glos_kamus,jawaban_model,a,glos_kamus,"dua-duanya baik. tapi saya pilih A, karna unggul di pengertian kemebul, dan mbok yang diartikan `Ibu`, tampah `nampan bambu`"
8,Tur,Iwak iki daginge empuk tur rasane enak banget,Ikan ini dagingnya empuk dan rasanya sangat enak.,Ikan ini dagingnya empuk dan rasanya enak sekali,jawaban_model,glos_kamus,sama,seri,sama saja bagusnya
9,Nggawe,Mambu bawang goreng iki nggawe wetengku dadi ngelih tenan.,Bau bawang goreng ini membuat perutku jadi sangat lapar.,Bau bawang goreng ini membuat perutku menjadi sangat lapar.,jawaban_model,glos_kamus,sama,seri,makna sama baiknya
10,Gabah,"Gabah sing dipe neng latar wis garing, ndang dilebokne karung.","Gabah yang dijemur di halaman sudah kering, segera masukkan ke karung.","Gabah yang dijemur di halaman sudah kering, segera masukkan ke dalam karung.",glos_kamus,jawaban_model,sama,seri,"sama baiknya, memang B lebih lengkap, tapi A juga sama maknanya."
11,Ageman,Ageman batik punika dipun ginakaken nalika sowan dhateng keraton.,Pakaian batik ini digunakan saat berkunjung ke keraton.,Pakaian batik ini digunakan saat berkunjung ke keraton.,jawaban_model,glos_kamus,sama,seri,sama
12,Nggawa,Aku mrene nggawa oleh-oleh kanggo kowe.,Aku ke sini membawa oleh-oleh untukmu.,Aku ke sini membawa oleh-oleh untukmu.,glos_kamus,jawaban_model,sama,seri,
13,Gakpati,"Gakpati panas kok dino iki, santai ae rek.","Tidak terlalu panas kok hari ini, santai saja.","Tidak terlalu panas kok hari ini, santai saja teman-teman.",glos_kamus,jawaban_model,b,jawaban_model,"ada kata `teman-teman` mengganti `rek`, varian surabaya-an jawa timur."
14,Ningali,"Mbah, panjenengan napa ningali dompet kula wonten meja tamu?","Mbah, apakah Anda melihat dompet saya di meja tamu?","Mbah, apakah Anda melihat dompet saya di meja tamu?",jawaban_model,glos_kamus,sama,seri,
15,Kupat,Kupat opor ayam iku makanan favoritku pas Lebaran.,Ketupat opor ayam itu makanan favoritku saat Lebaran.,Ketupat opor ayam adalah makanan favoritku saat Lebaran.,glos_kamus,jawaban_model,sama,seri,"sama baiknya, meski A harusnya lebih tepat karna `iku` memang `itu` secara Indonesia, tapi A dan B maknanya sama"
16,Celuk,"Kowe mau diceluk Pak Guru, ayo ndang maju!","Kamu tadi dipanggil Pak Guru, ayo segera maju!","Kamu tadi dipanggil Pak Guru, ayo segera maju!",glos_kamus,jawaban_model,sama,seri,sama hasilnya
17,Meh,"Kowe jare meh turu, tapi kok isih nonton TV?","Kamu katanya mau tidur, tapi kok masih nonton TV?","Kamu katanya mau tidur, tapi kok masih nonton TV?",jawaban_model,glos_kamus,sama,seri,sama hasilnya
18,Songo,Aku tuku jeruk songo iki kanggo ibu.,Aku beli jeruk sembilan ini untuk ibu.,Aku membeli sembilan jeruk ini untuk ibu.,glos_kamus,jawaban_model,b,jawaban_model,"jeruk songo = sembilan jeruk. ini lebih tepat, B."
19,mbok menawa,Mbok menawa sesuk udane mandheg.,Mungkin besok hujannya berhenti.,Barangkali besok hujannya berhenti.,jawaban_model,glos_kamus,b,glos_kamus,"Mbok menawa itu barangkali, meski jawaban A dengan varian `Mungkin` cukup mirip, tapi saya pilih B yang exactly tepat."
20,ora ilok,Metu wengi-wengi kuwi ora ilok.,Keluar malam-malam itu tidak pantas.,Keluar malam-malam itu tidak baik.,glos_kamus,jawaban_model,sama,seri,Maknanya sama
