model_id,jalan,lema,jawaban_model,kunci_hadir
gpt-5.6-luna,1,akeh,“akeh” berarti “banyak”.,1
gpt-5.6-luna,1,Anggitan,“Anggitan” berarti karangan atau ciptaan.,1
gpt-5.6-luna,1,bajigur,"Bajigur adalah minuman tradisional hangat dari santan, gula aren, dan rempah-rempah.",1
gpt-5.6-luna,1,Balung,Balung berarti tulang.,1
gpt-5.6-luna,1,bantet,“Bantet” berarti tidak mengembang atau keras (biasanya untuk makanan seperti kue atau nasi).,0
gpt-5.6-luna,1,Bedat,Bedat berarti **mencuri**.,0
gpt-5.6-luna,1,Bisane,“Bisane” berarti “bisanya” atau “dapatnya.”,1
gpt-5.6-luna,1,Blumbang,"Blumbang berarti kolam atau genangan air, biasanya untuk memelihara ikan.",1
gpt-5.6-luna,1,Bolo,“Bolo” berarti teman atau kawan.,1
gpt-5.6-luna,1,Bondho,“Bondho” berarti **harta atau kekayaan**.,1
gpt-5.6-luna,1,Bongko,“Bongko” berarti bangkrut atau jatuh miskin.,0
gpt-5.6-luna,1,Briwut,“Briwut” berarti ribut atau gaduh.,0
gpt-5.6-luna,1,Carane,“Carane” berarti “caranya” atau “bagaimana caranya.”,1
gpt-5.6-luna,1,Celuk,“Celuk” berarti **panggil** atau **memanggil**.,1
gpt-5.6-luna,1,Cempe,Cempe berarti anak kambing.,1
gpt-5.6-luna,1,Cetho,“Cetho” berarti jelas atau terang.,1
gpt-5.6-luna,1,Cilik,Cilik berarti kecil.,1
gpt-5.6-luna,1,Crigis,“Crigis” berarti cerewet atau banyak bicara.,1
gpt-5.6-luna,1,Dalem,"“Dalem” berarti “rumah” atau “saya” (bentuk halus), tergantung konteks.",1
gpt-5.6-luna,1,Dateng,“Dateng” berarti “datang” dalam bahasa Indonesia.,1
gpt-5.6-luna,1,Dong opo ora,“Dong opo ora” berarti “tahu atau tidak?”,0
gpt-5.6-luna,1,Dudu,“Dudu” berarti “bukan” atau “tidak”.,1
gpt-5.6-luna,1,Embuh,“Embuh” berarti “tidak tahu” atau “entahlah.”,1
gpt-5.6-luna,1,Endog,Endog berarti telur.,1
gpt-5.6-luna,1,Entek,“Entek” berarti “habis” atau “selesai.”,1
gpt-5.6-luna,1,Gangsal,Gangsal berarti lima.,1
gpt-5.6-luna,1,Geger,"Geger berarti keributan, kegaduhan, atau kehebohan.",1
gpt-5.6-luna,1,Gentho,“Gentho” berarti preman atau penjahat.,1
gpt-5.6-luna,1,Graji,“Graji” berarti **gergaji**.,1
gpt-5.6-luna,1,Iki,“Iki” berarti “ini” dalam bahasa Indonesia.,1
