model,set,tugas,penilai,rumusan,ulangan,versi_soal,versi_kunci,benar,benar_bobot,n_dinilai,n_item,skor,biaya_usd,tokens_in,tokens_out,latensi_median_ms,parsial,tanpa_skor,menunggu_vonis,beku,cap_token,dijalankan_pada,waktu_pasti
claude-haiku-4.5,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,86,,135,135,0.637,0.0251450000,,,1662,0,0,0,0,,2026-08-14T18:27:26+07:00,0
deepseek-v4-flash-0731,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,2,4e682041d284,75846544cfc3,110,,135,135,0.8148,0.0064652386,,,6361,0,0,0,0,4000,2026-08-13T01:04:18+0700,1
deepseek-v4-flash-0731,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,3,4e682041d284,75846544cfc3,110,,135,135,0.8148,0.0067447092,,,4636,0,0,0,0,4000,2026-08-13T00:59:07+0700,1
deepseek-v4-flash-0731,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,114,,135,135,0.8444,0.0061266006,,,3933,0,0,0,0,,2026-08-14T18:27:26+07:00,0
gemini-3.5-flash,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,128,,135,135,0.9481,0.3679860000,,,2988,0,0,0,0,,2026-08-14T18:27:26+07:00,0
gemma-4-31b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,2,4e682041d284,75846544cfc3,115,,135,135,0.8519,0.0014128000,,,1596,0,0,0,0,600,2026-08-12T22:57:02+0700,1
gemma-4-31b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,3,4e682041d284,75846544cfc3,116,,135,135,0.8593,0.0020982300,,,1305,0,0,0,0,600,2026-08-13T00:10:35+0700,1
gemma-4-31b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,117,,135,135,0.8667,0.0018014700,,,1580,0,0,0,0,,2026-08-14T18:27:26+07:00,0
gpt-5.6-luna,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,2,4e682041d284,75846544cfc3,121,,135,135,0.8963,0.0054298000,,,1381,0,0,0,0,600,2026-08-12T22:46:24+0700,1
gpt-5.6-luna,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,3,4e682041d284,75846544cfc3,119,,135,135,0.8815,0.0062076000,,,1990,0,0,0,0,600,2026-08-13T00:00:45+0700,1
gpt-5.6-luna,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,118,,135,135,0.8741,0.0056392000,,,1682,0,0,0,0,,2026-08-14T18:27:26+07:00,0
hunyuan-a13b,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,22,,135,135,0.163,0.0026550000,,,1731,0,0,0,0,1000,2026-08-12T22:28:43+0700,1
ling-3.0-flash,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,70,,135,135,0.5185,0.0015792120,,,1205,0,0,0,0,1000,2026-08-12T22:22:00+0700,1
llama-3-1-8b-q4km-local,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,26,,135,135,0.1926,,5477,2014,538,0,0,0,0,600,2026-08-15T16:40:03+0700,1
mistral-small-3-2501,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,24,,135,135,0.1778,0.0014690400,,,803,0,0,0,0,,2026-08-14T18:27:26+07:00,0
nemotron-3.5-lightning,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,27,,135,135,0.2,0.0243505500,,,2383,0,0,0,0,8000,2026-08-12T21:28:25+0700,1
qwen3-30b-a3b-2507,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,52,,135,135,0.3852,0.0009109801,,,820,0,0,0,0,1000,2026-08-12T22:15:45+0700,1
sahabatai-1-llama3-q4km-local,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,62,,135,135,0.4593,,5477,2925,516,0,0,0,0,600,2026-08-15T00:56:44+0700,1
sea-lion-v4-5-e2b-q4km-local,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,60,,135,135,0.4444,,4229,1834,938,0,0,0,0,600,2026-08-15T16:57:05+0700,1
solar-pro4,jv-B,arti-kata,kunci-alias-v1,arti-kata-v1,1,4e682041d284,75846544cfc3,52,,135,135,0.3852,0.0007201500,10733,3318,2645,0,0,0,0,600,2026-08-14T11:00:02+0700,1
