model_id,rerata_tokens_out,rerata_tokens_in,rerata_latency_detik,median_latency_detik,tokens_per_detik_median,n_panggilan,n_run
qwen-3.5-flagship,954,98,15.3,9.8,96.9,202,5
kimi-k2.6-or,757,145,15.9,15.3,49.4,31,1
qwen3-235b,714,120,10.6,7.2,99.4,220,5
gpt-5.4-pro,277,118,30.5,12.1,22.8,37,2
deepseek-v3-2,11,153,1.8,1.2,9.2,2015,20
mistral-small-3.2-24b-or,9,89,1.0,1.0,9.2,24,1
gemma-4-31b,8,111,2.0,1.4,5.8,228,5
claude-haiku-4-5,7,166,2.4,1.0,6.9,132,1
gemini-2.5-flash,7,79,0.9,0.8,8.2,180,3
claude-sonnet-4-6,7,167,1.6,1.4,4.5,132,1
gemini-3.1-flash-lite-preview-or,6,123,1.2,1.1,5.7,2410,26
claude-5-sonnet,3,224,3.6,3.3,0.9,15,1
