nama	kelas	n_pemakai	homograf_kbbi
Muhammed	orang:nama-depan	237	tidak
Eddy	orang:nama-depan	145	tidak
Amir	orang:nama-depan	88	ya
Herman	orang:nama-depan	84	tidak
Ahmad	orang:nama-depan	71	tidak
Retno	orang:nama-depan	66	tidak
Farida	orang:nama-depan	64	tidak
Abdul	orang:nama-depan	60	ya
John	orang:nama-depan	54	tidak
Mohammad	orang:nama-depan	51	tidak
Eva	orang:nama-depan	51	tidak
Denny	orang:nama-depan	49	tidak
Frans	orang:nama-depan	49	tidak
Erwin	orang:nama-depan	48	tidak
Ali	orang:nama-depan	45	ya
Robert	orang:nama-depan	43	tidak
Maria	orang:nama-depan	38	ya
Dani	orang:nama-depan	38	tidak
Anna	orang:nama-depan	36	tidak
Irma	orang:nama-depan	35	tidak
Anita	orang:nama-depan	35	tidak
Annisa	orang:nama-depan	34	tidak
Dina	orang:nama-depan	34	ya
Anggraini	orang:nama-keluarga	34	tidak
Johan	orang:nama-depan	33	ya
Samuel	orang:nama-depan	33	tidak
Agus	orang:nama-depan	32	ya
Ida	orang:nama-depan	32	ya
Putri	orang:nama-depan	31	ya
Elly	orang:nama-depan	30	tidak
Andi	orang:nama-depan	30	tidak
Paulus	orang:nama-depan	30	tidak
Henry	orang:nama-depan	29	ya
Henny	orang:nama-depan	29	tidak
Hendra	orang:nama-depan	27	tidak
Thomas	orang:nama-depan	27	tidak
Johannes	orang:nama-depan	26	tidak
Albert	orang:nama-depan	26	tidak
Lina	orang:nama-depan	26	tidak
David	orang:nama-depan	25	tidak
Abdullah	orang:nama-depan	25	tidak
Victor	orang:nama-depan	24	tidak
Tommy	orang:nama-depan	24	tidak
Ida Bagus	orang:nama-depan	24	ya
Kurniawan	orang:nama-keluarga	24	tidak
Bobby	orang:nama-depan	23	tidak
Benny	orang:nama-depan	23	tidak
Edward	orang:nama-depan	23	tidak
Kevin	orang:nama-depan	23	tidak
James	orang:nama-depan	23	tidak
Wijaya	orang:nama-keluarga	23	ya
Dwi	orang:nama-depan	22	tidak
Indra	orang:nama-depan	22	ya
Joseph	orang:nama-depan	22	tidak
Daniel	orang:nama-depan	22	tidak
Putri	orang:nama-keluarga	22	ya
Alexander	orang:nama-depan	21	tidak
Rudy	orang:nama-depan	21	tidak
Michael	orang:nama-depan	21	tidak
Tony	orang:nama-depan	21	tidak
Bambang	orang:nama-depan	21	ya
Joko	orang:nama-depan	21	tidak
Theresia	orang:nama-depan	21	tidak
Ronny	orang:nama-depan	21	tidak
Rudi	orang:nama-depan	21	ya
Christian	orang:nama-depan	20	tidak
Jessica	orang:nama-depan	20	tidak
Arie	orang:nama-depan	20	tidak
Teddy	orang:nama-depan	20	tidak
Sarah	orang:nama-depan	20	tidak
Olivia	orang:nama-depan	20	tidak
Eka	orang:nama-depan	19	tidak
Ana	orang:nama-depan	19	ya
Amelia	orang:nama-depan	19	tidak
Adam	orang:nama-depan	19	ya
Anton	orang:nama-depan	19	tidak
Ricky	orang:nama-depan	19	tidak
Leo	orang:nama-depan	19	ya
Arief	orang:nama-depan	19	tidak
Diana	orang:nama-depan	19	tidak
Charles	orang:nama-depan	19	tidak
Gunawan	orang:nama-keluarga	19	ya
Linda	orang:nama-depan	18	tidak
Rizky	orang:nama-depan	18	tidak
Hasan	orang:nama-depan	18	ya
Siti	orang:nama-depan	18	ya
Ronald	orang:nama-depan	17	tidak
Elizabeth	orang:nama-depan	17	tidak
Achmad	orang:nama-depan	17	tidak
Richard	orang:nama-depan	17	tidak
Ryan	orang:nama-depan	17	tidak
Freddy	orang:nama-depan	17	tidak
Jimmy	orang:nama-depan	17	tidak
A.	orang:nama-depan	17	tidak
Amanda	orang:nama-depan	17	tidak
Adi	orang:nama-depan	17	tidak
Harry	orang:nama-depan	17	tidak
Irawati	orang:nama-keluarga	17	tidak
Santoso	orang:nama-keluarga	17	tidak
Natalia	orang:nama-depan	16	tidak
Grace	orang:nama-depan	16	tidak
Johny	orang:nama-depan	16	tidak
Rina	orang:nama-depan	16	tidak
Nadia	orang:nama-depan	16	tidak
Sylvia	orang:nama-depan	16	tidak
Vera	orang:nama-depan	16	tidak
Saputra	orang:nama-keluarga	16	tidak
Rizki	orang:nama-depan	15	tidak
Andre	orang:nama-depan	15	tidak
Donny	orang:nama-depan	15	tidak
Peter	orang:nama-depan	15	tidak
Regina	orang:nama-depan	15	tidak
M.	orang:nama-depan	15	tidak
Steven	orang:nama-depan	15	tidak
Maya	orang:nama-depan	15	ya
Rita	orang:nama-depan	15	tidak
Tina	orang:nama-depan	15	tidak
Dewi	orang:nama-keluarga	15	ya
Chen	orang:nama-keluarga	15	tidak
Sondakh	orang:nama-keluarga	15	tidak
Ade	orang:nama-depan	14	tidak
Yohanes	orang:nama-depan	14	tidak
Fanny	orang:nama-depan	14	tidak
Adrianus	orang:nama-depan	14	tidak
Mario	orang:nama-depan	14	tidak
Ria	orang:nama-depan	14	ya
Vicky	orang:nama-depan	14	tidak
William	orang:nama-depan	14	tidak
Kusuma	orang:nama-keluarga	14	ya
Tan	orang:nama-keluarga	14	ya
Sandy	orang:nama-depan	13	tidak
Sandra	orang:nama-depan	13	tidak
Hendrik	orang:nama-depan	13	tidak
Putra	orang:nama-depan	13	ya
Slamet	orang:nama-depan	13	tidak
Cindy	orang:nama-depan	13	tidak
Laila	orang:nama-depan	13	tidak
Natasha	orang:nama-depan	13	tidak
Nur	orang:nama-depan	13	ya
Hidayat	orang:nama-keluarga	13	ya
Putra	orang:nama-keluarga	13	ya
Adam	orang:nama-keluarga	13	ya
Wanggai	orang:nama-keluarga	13	tidak
Arifin	orang:nama-keluarga	13	ya
Ginting	orang:nama-keluarga	13	tidak
Emma	orang:nama-depan	12	tidak
Fransisca	orang:nama-depan	12	tidak
Abdurrahman	orang:nama-depan	12	tidak
Jonathan	orang:nama-depan	12	tidak
Hanna	orang:nama-depan	12	tidak
Ferry	orang:nama-depan	12	tidak
Jan	orang:nama-depan	12	tidak
Aisyah	orang:nama-depan	12	tidak
Alex	orang:nama-depan	12	tidak
Lukas	orang:nama-depan	12	tidak
Ari	orang:nama-depan	12	ya
Michelle	orang:nama-depan	12	tidak
Rachel	orang:nama-depan	12	tidak
Reza	orang:nama-depan	12	tidak
Paul	orang:nama-depan	12	ya
Roy	orang:nama-depan	12	tidak
Hana	orang:nama-depan	12	ya
