nama	homograf_kbbi
3D Entertainment	tidak
700 Pictures	tidak
99 Ranch Market	tidak
A.T. Kearney	tidak
AB Sinar Mas Multifinance	tidak
ABC Heinz Indonesia	tidak
ABC Holding	tidak
Abdelkarim & Co.	tidak
Aberdeen Standard Investment Indonesia	tidak
ABM Investama	tidak
Ace Hardware Indonesia	tidak
Ace Oldfields	tidak
ACeS	tidak
Acset Indonusa	tidak
Activewear Bali	tidak
Ada Swalayan	tidak
Adaro Andalan Indonesia	tidak
Adaro Minerals Indonesia	tidak
Adhi Commuter Properti	tidak
Adhi Karya	tidak
Adi Sarana Armada	tidak
Adiluhung Saranasegara Indonesia	tidak
Adira Dinamika Multi Finance	tidak
Advan	tidak
Aerowisata	tidak
Aesler Grup Internasional	tidak
Agro Yasa Lestari	tidak
Agung Menjangan Mas	tidak
Agung Podomoro Land	tidak
Agung Sumatera Samudera Abadi	tidak
Ahad Media Digital (Indonesia)	tidak
AIA Group	tidak
AIM Biscuits	tidak
AJB Bumiputera	tidak
Ajinomoto Indonesia	tidak
Akasha Wira International	tidak
Akbar Indomakmur Stimec	tidak
AKR Corporindo	tidak
Akurama Records	tidak
Alakasa Industrindo	tidak
Alam Sutera Realty	tidak
Alam Tri Daya Indonesia	tidak
AlamTri Resources	tidak
Alenia Pictures	tidak
Aletra	tidak
ALEXA Private Cruises	tidak
Alfa Energi Investama	tidak
Alfa express	tidak
Alfamidi	tidak
Alkindo Naratama	tidak
Allo Bank	tidak
Almaz Fried Chicken	tidak
Alpha Code Technologies	tidak
Alumindo Light Metal Industry	tidak
Aman Agrindo	tidak
Amman Mineral Internasional	tidak
Amnor Shipyard	tidak
Anabatic Technologies	tidak
Anargya Asset Management	tidak
Ancora Indonesia Resources	tidak
Andalan Sakti Primaindo	tidak
Andika Trijaya Record	tidak
Andira Agro	tidak
Aneka Record	tidak
Aneka Tambang	tidak
Angkasa Pura I	tidak
Angkasa Pura II	tidak
Antv Pictures	tidak
Anugerah Kagum Karya Utama	tidak
Apexindo Pratama Duta	tidak
Apotek K-24	tidak
Appnitro Software	tidak
Aqua	tidak
Aquarius Musikindo	tidak
Archi Indonesia	tidak
Archipelago International	tidak
Argha Karya Prima Ind.	tidak
Argo Pantes	tidak
Arita Prima Indonesia	tidak
Arkadia Digital Media	tidak
Arkha Jayanti Persada	tidak
Arkora Hydro	tidak
Armada Berjaya Trans	tidak
Armidian Karyatama	tidak
Arsari Multi Tambang	tidak
Arsari Tambang	tidak
Arsy Buana Travelindo	tidak
Arthavest	tidak
Arwana Citramulia	tidak
Asahimas Flat Glass	tidak
Asean Motor International	tidak
Ashmore Asset Management Indonesia	tidak
Asia Media Productions	tidak
Asia Pacific Fibers	tidak
Asia Pacific Investama	tidak
Asia Raya Kapital	tidak
Asia Sejahtera Mina	tidak
AsiaCommerce	tidak
Asiaplast Industries	tidak
Asiatic Persada	tidak
Asosiasi Emiten Indonesia	tidak
Aspirasi Hidup Indonesia	tidak
Astra Agro Lestari	tidak
Astra Graphia	tidak
Astra International	tidak
Astra Motor	tidak
Astra Otoparts	tidak
Astra Sedaya Finance	tidak
Astrindo Nusantara Infrastruktur	tidak
Asuransi Bina Dana Arta	tidak
Asuransi Bintang	tidak
Asuransi Central Asia	tidak
Asuransi Dayin Mitra	tidak
Asuransi Harta Aman Pratama	tidak
Asuransi Jasa Tania	tidak
Asuransi Jiwa Sinarmas MSIG	tidak
