token	kelas	kbbi_pos	kbbi_semantic_class
abad	wilayah:kecamatan	Nomina	
abadi	organisasi:perusahaan	Adjektiva	
abang	wilayah:kecamatan	Nomina	
abdi	orang:nama-depan	Nomina	
abdul	orang:nama-depan,orang:nama-keluarga		
abidin	orang:nama-depan,orang:nama-keluarga	Nomina	
abrar	orang:nama-depan	Adjektiva	
abu	orang:nama-depan	Nomina	
aceh	wilayah:kabupaten-kota,wilayah:kecamatan,wilayah:provinsi	Nomina	proper
ada	organisasi:perusahaan	Verba	
adam	orang:nama-depan,orang:nama-keluarga	Nomina	proper
adiluhung	organisasi:perusahaan	Adjektiva	
adinda	orang:nama-depan	Nomina	
adnan	orang:nama-depan,orang:nama-keluarga	Nomina	
afiat	orang:nama-depan	Adjektiva	
agam	orang:nama-depan,wilayah:kabupaten-kota	Adjektiva	
agung	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
agus	orang:nama-depan,orang:nama-keluarga	Nomina	
ahad	organisasi:perusahaan	Nomina	tempo
ahsan	orang:nama-keluarga	Adjektiva	
air	organisasi:perusahaan,wilayah:kecamatan	Nomina	
aji	orang:nama-depan,wilayah:kecamatan	Adjektiva	
ajung	wilayah:kecamatan		
akademi	organisasi:perusahaan	Nomina	
akbar	orang:nama-depan,orang:nama-keluarga,organisasi:perusahaan	Adjektiva	
akli	orang:nama-depan	Adjektiva	
akmal	orang:nama-depan	Adjektiva	
aktif	organisasi:perusahaan	Adjektiva	
alahan	wilayah:kecamatan		
alai	wilayah:kecamatan	Nomina	
alak	wilayah:kecamatan	Verba	
alam	orang:nama-keluarga,organisasi:perusahaan,wilayah:kabupaten-kota,wilayah:kecamatan		
alang	wilayah:kecamatan	Nomina	
alas	wilayah:kecamatan	Nomina	
alfa	organisasi:perusahaan	Nomina	
ali	orang:nama-depan,orang:nama-keluarga	Verba	
alif	orang:nama-depan	Nomina	
alih	organisasi:perusahaan	Verba	
alim	orang:nama-depan,orang:nama-keluarga	Adjektiva	
alin	orang:nama-depan	Verba	
alip	wilayah:kecamatan	Nomina	tempo
alis	orang:nama-depan	Nomina	
alor	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
aluminium	organisasi:perusahaan	Nomina	
amal	orang:nama-depan,orang:nama-keluarga	Nomina	
aman	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Adjektiva	
amar	orang:nama-depan,organisasi:perusahaan,wilayah:kecamatan	Nomina	
amat	orang:nama-keluarga	Adverbia	
ambai	wilayah:kecamatan	Nomina	
ambal	wilayah:kecamatan	Nomina	
ambarawa	wilayah:kecamatan	Nomina	proper
ambon	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	proper
amen	wilayah:kecamatan	Verba	
ami	orang:nama-depan	Adjektiva	
amin	orang:nama-depan,orang:nama-keluarga	Partikel	fused
amina	orang:nama-depan	Nomina	
amir	orang:nama-depan	Nomina	
ampat	wilayah:kabupaten-kota		
ampek	wilayah:kecamatan	Nomina	
ampel	wilayah:kecamatan	Nomina	
amril	orang:nama-depan	Nomina	
ana	orang:nama-depan	Nomina	
anak	wilayah:kecamatan	Nomina	
ananda	orang:nama-depan	Nomina	
ancol	organisasi:perusahaan	Nomina	
anda	orang:nama-depan	Pronomina	action
andalan	organisasi:perusahaan	Nomina	
andam	wilayah:kecamatan	Nomina	
andika	orang:nama-depan,organisasi:perusahaan	Nomina	
andong	wilayah:kecamatan	Nomina	
aneka	organisasi:perusahaan		
angel	orang:nama-depan	Adjektiva	
angga	orang:nama-depan	Verba	
anggai	orang:nama-keluarga	Nomina	
anggrek	wilayah:kecamatan	Nomina	
anggun	orang:nama-depan		
angin	organisasi:perusahaan,wilayah:kecamatan	Nomina	
angkasa	organisasi:perusahaan	Nomina	
angkur	orang:nama-keluarga	Nomina	
angsana	wilayah:kecamatan	Nomina	
ani	orang:nama-depan	Nomina	
anis	orang:nama-depan,orang:nama-keluarga	Nomina	
anjir	wilayah:kecamatan		
ansari	orang:nama-keluarga	Nomina	
antara	organisasi:perusahaan,wilayah:kecamatan	Nomina	
antaran	organisasi:perusahaan	Nomina	
anugerah	organisasi:perusahaan	Nomina	
anyar	wilayah:kecamatan	Adjektiva	
ape	wilayah:kecamatan	Nomina	
api	organisasi:perusahaan	Nomina	
apit	wilayah:kecamatan		
apotek	organisasi:perusahaan		
april	orang:nama-depan	Nomina	tempo
ara	wilayah:kecamatan	Nomina	
arah	organisasi:perusahaan	Nomina	
arahan	wilayah:kecamatan	Nomina	
aras	orang:nama-depan	Adjektiva	
ardi	orang:nama-depan,orang:nama-keluarga	Nomina	
are	wilayah:kecamatan	Nomina	
area	wilayah:kecamatan	Nomina	
aren	wilayah:kecamatan	Nomina	
ari	orang:nama-depan	Nomina	
aria	orang:nama-depan	Nomina	abstract
aries	orang:nama-depan	Nomina	locus
arif	orang:nama-depan,orang:nama-keluarga	Adjektiva	
arifin	orang:nama-keluarga	Nomina	
aris	orang:nama-depan	Nomina	
armada	organisasi:perusahaan	Nomina	
aron	wilayah:kecamatan	Adjektiva	
arta	organisasi:perusahaan	Nomina	
aru	wilayah:kabupaten-kota,wilayah:kecamatan	Nomina	
arwana	organisasi:perusahaan	Nomina	
arya	orang:nama-depan	Nomina	
asa	organisasi:perusahaan	Nomina	
asad	orang:nama-depan	Nomina	
asahan	wilayah:kabupaten-kota	Nomina	
asai	wilayah:kecamatan	Nomina	
asam	organisasi:perusahaan,wilayah:kecamatan	Nomina	
aset	organisasi:perusahaan	Nomina	
askar	orang:nama-keluarga	Nomina	
asli	organisasi:perusahaan	Nomina	abstract
asma	orang:nama-depan	Nomina	
