token	category	is_homograph	kbbi_pos	is_multi_word
aadijatmiko	orang:nama-depan	f		f
aanya	orang:nama-depan	f		f
aaron	orang:nama-depan	f		f
abab	wilayah:kabupaten-kota	f		f
abab	wilayah:kecamatan	f		f
abas	orang:nama-depan	f		f
abd	orang:nama-depan	f		f
abdel	orang:nama-depan	f		f
abdulhamid	orang:nama-depan	f		f
abdulkadir	orang:nama-depan	f		f
abdullah	orang:nama-depan	f		f
abdullah	orang:nama-keluarga	f		f
abdur	orang:nama-depan	f		f
abdurahman	orang:nama-depan	f		f
abdurahman	orang:nama-keluarga	f		f
abdurrahman	orang:nama-depan	f		f
abdussamad	orang:nama-keluarga	f		f
abel	orang:nama-depan	f		f
abela	orang:nama-keluarga	f		f
abeli	wilayah:kecamatan	f		f
abenaho	wilayah:kecamatan	f		f
abepura	wilayah:kecamatan	f		f
abiansemal	wilayah:kecamatan	f		f
abigail	orang:nama-depan	f		f
abimanyu	orang:nama-keluarga	f		f
abit	orang:nama-keluarga	f		f
abiyyu	orang:nama-depan	f		f
aboy	wilayah:kecamatan	f		f
abraham	orang:nama-depan	f		f
abraham	orang:nama-keluarga	f		f
abram	orang:nama-depan	f		f
abubakar	orang:nama-depan	f		f
abubakar	orang:nama-keluarga	f		f
abuki	wilayah:kecamatan	f		f
abun	wilayah:kecamatan	f		f
abung	wilayah:kecamatan	f		f
ace	orang:nama-depan	f		f
achiel	orang:nama-depan	f		f
achintya	orang:nama-depan	f		f
achmad	orang:nama-depan	f		f
adams	orang:nama-keluarga	f		f
ade	orang:nama-depan	f		f
ade	orang:nama-keluarga	f		f
adelaide	orang:nama-depan	f		f
adeleide	orang:nama-depan	f		f
adelia	orang:nama-depan	f		f
adelina	orang:nama-depan	f		f
adeline	orang:nama-depan	f		f
adelita	orang:nama-depan	f		f
aderya	orang:nama-keluarga	f		f
adhi	orang:nama-keluarga	f		f
adhwin	orang:nama-depan	f		f
adi	orang:nama-depan	f		f
adiankoting	wilayah:kecamatan	f		f
adianto	orang:nama-keluarga	f		f
adibroto	orang:nama-keluarga	f		f
adifta	orang:nama-keluarga	f		f
adiluwih	wilayah:kecamatan	f		f
adimulyo	wilayah:kecamatan	f		f
adinata	orang:nama-keluarga	f		f
adinegoro	orang:nama-keluarga	f		f
adipala	wilayah:kecamatan	f		f
adistia	orang:nama-keluarga	f		f
adistra	orang:nama-keluarga	f		f
aditiya	orang:nama-depan	f		f
aditya	orang:nama-depan	f		f
aditya	orang:nama-keluarga	f		f
adityawarman	orang:nama-keluarga	f		f
adiwerna	wilayah:kecamatan	f		f
adjie	orang:nama-depan	f		f
adli	orang:nama-depan	f		f
adlim	orang:nama-depan	f		f
adolf	orang:nama-depan	f		f
adolfina	orang:nama-depan	f		f
adonara	wilayah:kecamatan	f		f
adra	orang:nama-depan	f		f
adri	orang:nama-depan	f		f
adrian	orang:nama-depan	f		f
adrian	orang:nama-keluarga	f		f
adriana	orang:nama-depan	f		f
adriani	orang:nama-depan	f		f
adriani	orang:nama-keluarga	f		f
adriano	orang:nama-depan	f		f
adrianus	orang:nama-depan	f		f
adriel	orang:nama-depan	f		f
adrienne	orang:nama-depan	f		f
adriyana	orang:nama-keluarga	f		f
adriyanti	orang:nama-depan	f		f
adryan	orang:nama-depan	f		f
adventri	orang:nama-depan	f		f
aek	wilayah:kecamatan	f		f
aere	wilayah:kecamatan	f		f
aert	orang:nama-keluarga	f		f
aertembaga	wilayah:kecamatan	f		f
aesesa	wilayah:kecamatan	f		f
affan	orang:nama-depan	f		f
afgansyah	orang:nama-depan	f		f
afif	orang:nama-depan	f		f
afifah	orang:nama-depan	f		f
afilian	orang:nama-depan	f		f
afina	orang:nama-depan	f		f
afni	orang:nama-keluarga	f		f
afrizal	orang:nama-depan	f		f
afulu	wilayah:kecamatan	f		f
afwanil	orang:nama-keluarga	f		f
agandugume	wilayah:kecamatan	f		f
agani	orang:nama-keluarga	f		f
agatha	orang:nama-depan	f		f
agats	wilayah:kecamatan	f		f
aghisna	orang:nama-depan	f		f
aghnia	orang:nama-depan	f		f
agimuga	wilayah:kecamatan	f		f
agisiga	wilayah:kecamatan	f		f
agnes	orang:nama-depan	f		f
agnes	orang:nama-keluarga	f		f
agnesia	orang:nama-depan	f		f
agnia	orang:nama-depan	f		f
agrabinta	wilayah:kecamatan	f		f
agripina	orang:nama-depan	f		f
agusta	orang:nama-depan	f		f
agustianti	orang:nama-keluarga	f		f
agustiawati	orang:nama-keluarga	f		f
agustin	orang:nama-depan	f		f
agustinus	orang:nama-depan	f		f
agustinus	orang:nama-keluarga	f		f
ahmad	orang:nama-depan	f		f
ahmad	orang:nama-keluarga	f		f
ahman	orang:nama-keluarga	f		f
ahmed	orang:nama-depan	f		f
aida	orang:nama-depan	f		f
aida	orang:nama-keluarga	f		f
aidan	orang:nama-depan	f		f
aifat	wilayah:kecamatan	f		f
aikmel	wilayah:kecamatan	f		f
aiko	orang:nama-depan	f		f
aiman	orang:nama-depan	f		f
aimando	wilayah:kecamatan	f		f
aimas	wilayah:kecamatan	f		f
aimasi	wilayah:kecamatan	f		f
aimee	orang:nama-depan	f		f
aimere	wilayah:kecamatan	f		f
airgaram	wilayah:kecamatan	f		f
airgegas	wilayah:kecamatan	f		f
airmadidi	wilayah:kecamatan	f		f
airpura	wilayah:kecamatan	f		f
airu	wilayah:kecamatan	f		f
aischa	orang:nama-depan	f		f
aisha	orang:nama-depan	f		f
aisyah	orang:nama-depan	f		f
aitinyo	wilayah:kecamatan	f		f
ajangale	wilayah:kecamatan	f		f
ajib	orang:nama-depan	f		f
ajibarang	wilayah:kecamatan	f		f
ajibata	wilayah:kecamatan	f		f
ajish	orang:nama-depan	f		f
akabiluru	wilayah:kecamatan	f		f
akat	wilayah:kecamatan	f		f
akhdan	orang:nama-depan	f		f
akhmad	orang:nama-depan	f		f
akhsa	orang:nama-depan	f		f
akhsan	orang:nama-depan	f		f
akhyar	orang:nama-depan	f		f
akib	orang:nama-keluarga	f		f
aksan	orang:nama-keluarga	f		f
aladin	orang:nama-depan	f		f
alafan	wilayah:kecamatan	f		f
alalak	wilayah:kecamatan	f		f
alama	wilayah:kecamatan	f		f
alamsyah	orang:nama-depan	f		f
alan	orang:nama-depan	f		f
alana	orang:nama-depan	f		f
alanda	orang:nama-depan	f		f
alasa	wilayah:kecamatan	f		f
alatas	orang:nama-keluarga	f		f
alaudin	orang:nama-depan	f		f
alavi	orang:nama-keluarga	f		f
alawiyyin	orang:nama-keluarga	f		f
alayman	orang:nama-depan	f		f
albani	orang:nama-keluarga	f		f
albar	orang:nama-keluarga	f		f
albert	orang:nama-depan	f		f
alberta	orang:nama-depan	f		f
alberth	orang:nama-depan	f		f
albertina	orang:nama-depan	f		f
alberto	orang:nama-depan	f		f
albertus	orang:nama-depan	f		f
aldi	orang:nama-depan	f		f
aldiano	orang:nama-keluarga	f		f
aldiartama	orang:nama-keluarga	f		f
