id,name,iso639P3code,latitude,longitude,family_id,country_ids
abai1241,Abai Tubu-Abai Sembuak,,3.524226,116.162455,aust1307,ID
abin1243,Abinomn,bsa,-2.92281,138.891,,ID
abui1241,Abui,abz,-8.31058,124.588,timo1261,ID
abun1252,Abun,kgr,-0.57073,132.416,,ID
achi1257,Acehnese,ace,3.90757,96.6032,aust1307,ID
adab1235,Adabe,adb,-8.22674,125.576,book1242,ID TL
adan1251,Adang,adn,-8.18958,124.448,timo1261,ID
adon1237,Adonara,adr,-8.32027,123.159,aust1307,ID
aghu1255,Aghu,ahh,-6.34674,140.043,nucl1709,ID
airo1242,Airoran,air,-1.8522,138.158,kwer1242,ID
alor1247,Alorese,aol,-8.20382,124.264,aust1307,ID
alun1238,Alune,alp,-3.11477,128.394,aust1307,ID
amah1245,Amahai,amq,-3.32028,128.939,aust1307,ID
aman1265,Amanab,amn,-3.51516,141.178,bord1247,ID PG
amar1273,Amarasi,aaz,-10.21751,123.96373,aust1307,ID
amba1265,Ambai,amk,-1.88126,136.526,aust1307,ID
ambe1246,Ambermo,,-1.763355,137.903651,uncl1493,ID
ambe1248,Ambelau,amv,-3.85919,127.196,aust1307,ID
ambo1250,Ambonese Malay,abs,-3.71342,128.184,aust1307,ID
ampa1239,Ampanang,apg,-0.79259,116.349,aust1307,ID
anak1240,Anakalang,akg,-9.63425,119.605,aust1307,ID
anas1239,Anasi,bpo,-1.73908,137.716,book1242,ID
andi1257,Andio,bzb,-0.88368,123.174,aust1307,ID
angg1239,Angguruk Yali,yli,-4.0836,139.457,nucl1709,ID
ansu1237,Ansus,and,-1.7543,135.866,aust1307,ID
anus1237,Korur,auq,-2.26271,139.502,aust1307,ID
aohe1237,Aoheng-Seputan,pni,0.87404,114.127,aust1307,ID
aput1237,Aputai,apx,-7.84732,126.496,aust1307,ID
aral1243,Aralle-Tabulahan,atq,-2.78397,119.319,aust1307,ID
aran1237,Dombano,jbj,-2.08016,132.983,sout3418,ID
argu1237,Arguni,agf,-2.645798,132.5556,aust1307,ID
asil1242,Asilulu,asl,-3.67302,127.952,aust1307,ID
asss1237,As,asz,-0.75267,131.728,aust1307,ID
asue1235,Asue Awyu,psa,-5.98341,139.123,nucl1709,ID
atoh1238,Atohwaim,aqm,-6.27123,138.666,kaya1327,ID
auye1238,Auye,auu,-3.43705,136.096,nucl1709,ID
awbo1238,Awbono,awh,-5.05875,139.724,bayo1259,ID
awer1241,Awera,awr,-2.71886,136.063,lake1255,ID
awyi1241,Awyi,auw,-3.00564,140.604,bord1247,ID
baca1243,Bacanese Malay,btj,-0.62275,127.49,aust1307,ID
bada1261,Bada (Indonesia),bhz,-1.80249,120.319,aust1307,ID
badi1247,Ngkontar Baedi,khd,-8.85301,140.753,more1255,ID
bagu1251,Bagusa,bqb,-1.98844,137.914,kwer1242,ID
baha1257,Bahau,bhv,0.30801,115.332,aust1307,ID
baha1258,Baham,bdw,-3.10628,132.637,west2604,ID
baho1237,Bahonsuai,bsu,-2.22572,121.707,aust1307,ID
baik1238,Baikeno,bkx,-9.32991,124.256,aust1307,ID TL
baku1263,Bakumpai,bkr,-1.98842,114.77,aust1307,ID
bala1314,Balaesang,bls,-0.05644,119.689,aust1307,ID
bala1315,Balantak,blz,-0.86809,123.289,aust1307,ID
bali1278,Balinese,ban,-8.35714,115.075,aust1307,ID
bali1279,Balinese Malay,mhp,-8.355884,114.648391,aust1307,ID
bali1287,Baliledu-Buawa,,-9.56709,119.49165,aust1307,ID
bamb1270,Bambam,ptu,-3.02759,119.201,aust1307,ID
band1353,Banda Malay,bpq,-4.55565,129.905,aust1307,ID
band1355,Banda (Indonesia),bnd,-5.42138,133.142,aust1307,ID
bang1365,Bangka,mfb,-1.73288,105.897,aust1307,ID
bang1368,Banggai,bgz,-1.58305,123.171,aust1307,ID
banj1239,Banjar,bjn,0.747105,115.79,aust1307,ID MY
bant1286,Bantik,bnq,1.44586,124.846,aust1307,ID
bara1367,Barakai,baj,-6.7394,134.671,aust1307,ID
bara1371,Baras,brs,-1.5667,119.342,aust1307,ID
bara1375,Barapasi,brp,-2.28732,137.054,geel1240,ID
basa1286,Basap,bdb,1.41405,117.942,aust1307,ID
bata1288,Batak Simalungun,bts,3.04372,98.9083,aust1307,ID
bata1289,Batak Toba,bbc,2.35498,99.1761,aust1307,ID
bata1290,Batak Angkola,akb,1.66127,99.60248,aust1307,ID
bata1291,Batak Mandailing,btm,0.85805,99.898,aust1307,ID
bata1292,Batak Alas-Kluet,btz,3.4293,97.8123,aust1307,ID
bata1293,Batak Karo,btx,2.12787,98.2517,aust1307,ID
bata1294,Batak Dairi,btd,2.51438,98.2427,aust1307,ID
bata1295,Batanta,,-0.862394,130.646,aust1307,ID
bati1253,Bati (Indonesia),bvt,-3.61403,130.815,aust1307,ID
batu1258,Batuley,bay,-5.814412,134.784314,aust1307,ID
batu1260,Batui,zbt,-1.254442,122.487151,aust1307,ID
baub1235,Bau-Jagoi Bidayuh,sne,1.54467,109.985,aust1307,ID MY
bauz1241,Bauzi,bvz,-2.44717,137.629,geel1240,ID
bayo1260,Bayono,byl,-5.21728,139.617,bayo1259,ID
bedo1237,Mbaruan,bed,-2.74438,132.566,aust1307,ID
beka1241,Riuk Bekati',bei,1.3307,109.576,aust1307,ID
beng1239,Kata Kolok,bqy,-8.383,115.098,sign1238,ID
beng1287,Benggoi,bgy,-3.13924,130.091,aust1307,ID
bent1237,Bentong,bnu,-4.76004,119.806,aust1307,ID
beny1237,Benyadu',byd,0.78534,109.753,aust1307,ID
bera1262,Berau Malay,bve,1.6687,117.934,aust1307,ID
beri1254,Berik,bkl,-2.26904,138.866,toro1256,ID
beso1237,Besoa,bep,-1.60095,120.379,aust1307,ID
beta1252,Betawi,bew,-6.21174,107.022,aust1307,ID
beta1253,Betaf,bfe,-2.12422,139.255,toro1256,ID
biak1248,Biak,bhw,-0.9523,135.879,aust1307,ID
bian1251,Bian Marind,bpv,-7.35942,140.568,anim1240,ID
biat1246,Biatah Bidayuh,bth,1.17596,110.254,aust1307,ID MY
biga1238,Biga,bhc,-1.99574,130.272,aust1307,ID
bilb1242,Bilba,bpz,-10.6503,123.307,aust1307,ID
bima1247,Bima,bhp,-8.57376,118.445,aust1307,ID
bint1245,Bintauna,bne,0.75069,123.486,aust1307,ID
biri1259,Biritai,bqq,-2.92042,137.68,lake1255,ID
blag1240,Blagar,beu,-8.31787,124.251,timo1261,ID
boan1242,Boano (Maluku),bzn,-2.95535,127.953,aust1307,ID
boan1243,Boano (Sulawesi),bzl,0.51152,120.992,aust1307,ID
bobo1254,Bobot,bty,-3.43514,130.179,aust1307,ID
bobo1255,Bobongko,bgb,-0.36759,121.922,aust1307,ID
bola1252,Bolango,bld,0.39044,123.888,aust1307,ID
bolo1268,Bolongan,blj,2.75927,117.293,aust1307,ID
bone1254,Bonerate,bna,-7.37657,121.792,aust1307,ID
bone1255,Bonerif,bnv,-2.09529,139.208,toro1256,ID
bong1287,Bonggo,bpg,-2.28044,139.576,aust1307,ID
budo1241,Budong-Budong,bdx,-2.07756,119.327,aust1307,ID
bugi1244,Buginese,bug,-4.47,119.977,aust1307,ID
buka1257,Bukar-Sadung Bidayuh,sdo,0.96817,110.657,aust1307,ID MY
buka1261,Bukat,bvk,1.29075,113.246,aust1307,ID MY
buki1247,Bukit Malay,bvu,-2.75049,115.64,aust1307,ID
buki1248,Bukitan,bkn,2.34947,114.895,aust1307,ID MY
buli1255,Buli (Indonesia),bzq,1.0008,128.443,aust1307,ID
buna1278,Bunak,bfn,-9.13618,125.216,timo1261,ID TL
bung1269,Bungku,bkz,-3.22197,122.212,aust1307,ID
buol1237,Buol,blf,0.97727,121.519,aust1307,ID
bura1276,Burate,bti,-2.79301,136.038,geel1240,ID
burm1264,Burmeso,bzu,-2.47582,138.203,,ID
buru1303,Buru (Indonesia),mhs,-3.43957,126.632,aust1307,ID
buru1304,Burusu,bqr,3.36912,117.012,aust1307,ID
buru1307,Burumakok,aip,-5.12217,140.03,nucl1709,ID
buru1308,Buruwai,asi,-3.54561,133.327,nucl1709,ID
busa1254,Busami,bsm,-1.73681,136.032,aust1307,ID
