kode_bps,provinsi,total_penduduk_5plus,n_bahasa_daerah,pct_bahasa_daerah,pct_bahasa_indonesia
33,JAWA TENGAH,34353684,32142834,93.56,6.3
13,SUMATERA BARAT,5182031,4805649,92.74,7.17
52,NUSA TENGGARA BARAT,4974331,4579995,92.07,7.84
63,KALIMANTAN SELATAN,3821085,3512991,91.94,7.87
19,KEPULAUAN BANGKA BELITUNG,1371084,1250162,91.18,7.3
35,JAWA TIMUR,38366135.00000001,34699943,90.44,9.39
16,SUMATERA SELATAN,7893556,7118956,90.19,9.61
17,BENGKULU,1884154,1682974,89.32,10.62
51,BALI,4112331,3658606,88.97,10.83
34,DI YOGYAKARTA,3512994,3096985,88.16,11.63
62,KALIMANTAN TENGAH,2519185,2037876,80.89,19.0
15,JAMBI,3318392,2682589,80.84,19.01
61,KALIMANTAN BARAT,5067031,3923428,77.43,19.07
11,ACEH,4915358,3606729,73.38,26.48
71,SULAWESI UTARA,2462849,1803896,73.24,26.65
32,JAWA BARAT,45450109.00000001,32635325,71.8,28.07
18,LAMPUNG,8409645,5717937,67.99,31.79
82,MALUKU UTARA,1196106,796843,66.62,33.27
81,MALUKU,1718964,1094231,63.66,36.21
53,NUSA TENGGARA TIMUR,4906763,3055093,62.26,37.42
76,SULAWESI BARAT,1318409,800888,60.75,39.11
94,PAPUA,4009223,2430969,60.63,39.27
14,RIAU,5997281,3234065,53.93,45.68
73,SULAWESI SELATAN,8487196,4540309,53.5,46.36
36,BANTEN,11209031,5925741,52.87,47.07
21,KEPULAUAN RIAU,1985101,995081,50.13,48.31
74,SULAWESI TENGGARA,2444232,952706,38.98,60.88
64,KALIMANTAN TIMUR,3543701,1229612,34.7,65.2
12,SUMATERA UTARA,13739313,4609992,33.55,66.2
91,PAPUA BARAT,1079836,295089,27.33,72.57
65,KALIMANTAN UTARA,666533,177608,26.65,73.15
72,SULAWESI TENGAH,2787674,726206,26.05,73.77
75,GORONTALO,1094826,208764,19.07,80.83
31,DKI JAKARTA,9881205,1051971,10.65,89.05
