kode,bahasa,artikel,aktif,admin,n_sampel,median_byte,pct_rintisan,artikel_bernas,artikel_per_penyunting
min,Minangkabau,229878,60,6,180,1156,97,7662,3831
jv,Jawa,75350,106,5,180,1575,61,29721,711
su,Sunda,62952,40,7,180,896,62,23781,1574
ban,Bali,38466,87,4,180,3052,21,30345,442
bug,Bugis,15960,36,1,180,266,98,354,443
gor,Gorontalo,15111,28,2,180,1031,97,503,540
map-bms,Jawa Banyumasan,13975,20,1,180,444,98,310,699
ace,Aceh,13074,33,3,180,986,93,944,396
bjn,Banjar,12264,61,2,180,678,82,2248,201
mad,Madura,5408,49,4,180,3411,22,4206,110
bew,Betawi,3334,22,4,180,838,86,463,152
nia,Nias,1778,15,2,180,1402,75,444,119
tet,Tetum,1544,26,6,180,1332,59,626,59
bbc,Batak Toba,1455,27,2,180,788,78,315,54
btm,Batak Mandailing,1230,17,0,180,929,73,334,72
