word | miss_spelling
abadiah | abadiat
abaimana | abimana
abdu | abdul
adang | hadang
adendum | adenda
adikara | andikara
adinda | adikanda
adipati | dipati
adjuvan | ajufan
admiral | amberal
advertensi | adpertensi
advis | adpis
afwah | afuah
agal | agel
agamais | agamis
agrobisnis | agribisnis
ai | aih
akidah | aqidah
akikah | akekah
akikah | kekah
aklimatisasi | aklimasi
akta | akte
algojo | legojo
aliah | aliyah
almarhum | marhum
almarhumah | marhumah
amabakdu | ammabakdu
ambang | embang
ambek | ambeg
ameba | amuba
amendemen | amandemen
amfibi | ampibi
ami | ammi
amin | amien
amirulbahar | amirulbahri
ampelas | empelas
amputasi | amputir
amril | ambril
amunisi | munisi
ananda | nanda
andal | handal
anderak | anderik
aneka | neka
angkasa | akasa
angker | angkar
angkusa | angkus
anjangsana | anjangsono
ansar | ansor
ansari | ansori
anta | ente
antimonium | antimon
apak | apek
apam | apem
apung | ampung
ararut | arerut
arbitrase | arbitrasi
arktika | artik
artefak | artifak
asabiah | asabiyah
asal | muasal
asiri | atsiri
asiri | eteris
astringen | adstringen
aulia | olia
autobiografi | otobiografi
autodidak | otodidak
autograf | otograf
autografi | otografi
autokrasi | otokrasi
autokrat | otokrat
autopsi | otopsi
ayit | ayid
ayut | ayuk
baba | babah
bagasi | begasi
bagi | bahagi
bahari | bihari
bahwasanya | sanya
baiat | bayat
baksis | bakhsis
baktau | batau
bakterisida | bakterisid
balela | ambalela
balig | bulug
balur | belur
bandar | bendar
bandela | bendela
bandering | bandring
banderol | bandrol
bani | banu
bantah | bentoh
banzai | bansai
barber | barbir
barkas | bargas
barongsai | baronsai
barzanji | berzanji
baskat | basekat
batalion | batalyon
batin | perwatin
bayam | bayem
bazoka | basoka
bedukang | belukang
begandering | begandring
bekatul | pekatul
beksan | bebeksan
bekuku | bekukung
belangkin | belakin
belerang | melerang
belit | balit
beloon | bloon
belubur | lubur
bencah | bancah
bengek | bengik
bengkarung | mengkarung
bengkawan | mengkawan
bengkuang | mengkuang
benian | banian
benkap | bengkap
benteh | bentes
benturung | menturung
benzol | bensol
berahi | birahi
berangan | barangan
berangas | brangas
berangsang | gerangsang
berangus | brangus
berantas | banteras
beredel | bredel
berengsek | brengsek
berewok | brewok
bergajul | baragajul
bergajul | gergajul
berguk | merguk
bernga | berenga
berongkos | brongkos
berongsang | beronsang
berongsong | berangsong
besan | bisan
beskal | biskal
